Task,Perturbation_Mode,Grid,Architecture,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
PF,node_only,ieee24,GINE Linear,0.000,N/A,100,100,0,0.2858,772,19,509,1300,59.38,0.000049,0.000426
PF,node_only,ieee24,GINE Linear,0.000,N/A,100,100,0,0.2858,772,19,509,1300,59.38,0.000049,0.000426
PF,node_only,ieee39,GINE Linear,0.000,N/A,100,100,0,0.9483,2857,0,43,2900,98.52,0.000063,0.000547
PF,node_only,ieee39,GINE Linear,0.000,N/A,100,100,0,0.9483,2857,0,43,2900,98.52,0.000063,0.000547
PF,node_only,ieee118,GINE Linear,0.000,N/A,100,100,0,2.2767,6364,2,34,6400,99.44,0.000025,0.001163
PF,node_only,ieee118,GINE Linear,0.000,N/A,100,100,0,2.2767,6364,2,34,6400,99.44,0.000025,0.001163
