Task,Perturbation_Mode,Grid,Architecture,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
OPF,node_only,ieee24,GINE Conv,0.000,N/A,100,100,0,0.3576,1238,0,62,1300,95.23,0.000010,0.000135
OPF,node_only,ieee24,GINE Conv,0.000,N/A,100,100,0,0.3576,1238,0,62,1300,95.23,0.000010,0.000135
OPF,node_only,ieee39,GINE Conv,0.000,N/A,100,100,0,0.9320,2717,1,182,2900,93.69,0.000024,0.000232
OPF,node_only,ieee39,GINE Conv,0.000,N/A,100,100,0,0.9320,2717,1,182,2900,93.69,0.000024,0.000232
OPF,node_only,ieee118,GINE Conv,0.000,N/A,100,100,0,2.8410,6400,0,0,6400,100.00,0.000026,0.000405
OPF,node_only,ieee118,GINE Conv,0.000,N/A,100,100,0,2.8410,6400,0,0,6400,100.00,0.000026,0.000405
