Task,Perturbation_Mode,Grid,Architecture,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
PF,node_only,ieee24,GCN,0.001,N/A,100,100,0,0.1057,47,49,1204,1300,3.62,0.003861,0.019051
PF,node_only,ieee24,GCN,0.005,N/A,100,100,0,0.4396,14,271,1015,1300,1.08,0.019569,0.095360
PF,node_only,ieee24,GCN,0.010,N/A,100,100,0,0.8385,0,577,723,1300,0.00,0.040006,0.196696
PF,node_only,ieee24,SAGEConv,0.001,N/A,100,100,0,0.0328,1298,0,2,1300,99.85,0.001134,0.016206
PF,node_only,ieee24,SAGEConv,0.005,N/A,100,100,0,0.1583,1298,1,1,1300,99.85,0.005728,0.079435
PF,node_only,ieee24,SAGEConv,0.010,N/A,100,100,0,0.3202,1295,4,1,1300,99.62,0.011623,0.158167
PF,node_only,ieee24,GINE Linear,0.001,N/A,100,100,0,0.0110,800,0,500,1300,61.54,0.000102,0.000516
PF,node_only,ieee24,GINE Linear,0.005,N/A,100,100,0,0.0348,800,0,500,1300,61.54,0.000509,0.002626
PF,node_only,ieee24,GINE Linear,0.010,N/A,100,100,0,0.0631,800,0,500,1300,61.54,0.001025,0.005420
PF,node_only,ieee24,GINE Conv,0.001,N/A,100,100,0,1.4071,1143,80,77,1300,87.92,0.002794,0.031948
PF,node_only,ieee24,GINE Conv,0.005,N/A,100,100,0,6.8591,906,388,6,1300,69.69,0.014149,0.159870
PF,node_only,ieee24,GINE Conv,0.010,N/A,100,100,0,14.3502,338,960,2,1300,26.00,0.028883,0.273130
PF,node_only,ieee39,GCN,0.001,N/A,100,100,0,0.0078,464,11,2425,2900,16.00,0.000267,0.001771
PF,node_only,ieee39,GCN,0.005,N/A,100,100,0,0.0416,448,55,2397,2900,15.45,0.001333,0.008853
PF,node_only,ieee39,GCN,0.010,N/A,100,100,0,0.1047,431,101,2368,2900,14.86,0.002665,0.017705
PF,node_only,ieee39,SAGEConv,0.001,N/A,100,100,0,0.0776,2601,1,298,2900,89.69,0.000974,0.017885
PF,node_only,ieee39,SAGEConv,0.005,N/A,100,100,0,0.3977,2575,29,296,2900,88.79,0.005007,0.069151
PF,node_only,ieee39,SAGEConv,0.010,N/A,100,100,0,0.9599,2514,101,285,2900,86.69,0.010496,0.140284
PF,node_only,ieee39,GINE Linear,0.001,N/A,100,100,0,0.0557,2900,0,0,2900,100.00,0.000075,0.000436
PF,node_only,ieee39,GINE Linear,0.005,N/A,100,100,0,0.1871,2900,0,0,2900,100.00,0.000373,0.002214
PF,node_only,ieee39,GINE Linear,0.010,N/A,100,100,0,0.3313,2900,0,0,2900,100.00,0.000744,0.004552
PF,node_only,ieee39,GINE Conv,0.001,N/A,100,100,0,2.6838,2601,28,271,2900,89.69,0.000350,0.020608
PF,node_only,ieee39,GINE Conv,0.005,N/A,100,100,0,12.2434,2502,279,119,2900,86.28,0.002094,0.103259
PF,node_only,ieee39,GINE Conv,0.010,N/A,100,100,0,22.0936,2445,352,103,2900,84.31,0.004678,0.184839
PF,node_only,ieee118,GCN,0.001,N/A,100,100,0,0.0674,983,19,5398,6400,15.36,0.000408,0.004097
PF,node_only,ieee118,GCN,0.005,N/A,100,100,0,0.2037,846,211,5343,6400,13.22,0.002042,0.020484
PF,node_only,ieee118,GCN,0.010,N/A,100,100,0,0.3792,779,341,5280,6400,12.17,0.004084,0.040969
PF,node_only,ieee118,SAGEConv,0.001,N/A,100,100,0,0.1545,6400,0,0,6400,100.00,0.000031,0.001183
PF,node_only,ieee118,SAGEConv,0.005,N/A,100,100,0,0.7039,6400,0,0,6400,100.00,0.000155,0.005787
PF,node_only,ieee118,SAGEConv,0.010,N/A,100,100,0,1.3016,6400,0,0,6400,100.00,0.000317,0.011121
PF,node_only,ieee118,GINE Linear,0.001,N/A,100,100,0,0.1379,6400,0,0,6400,100.00,0.000120,0.000926
PF,node_only,ieee118,GINE Linear,0.005,N/A,100,100,0,0.5613,6400,0,0,6400,100.00,0.000604,0.004630
PF,node_only,ieee118,GINE Linear,0.010,N/A,100,100,0,1.1320,6400,0,0,6400,100.00,0.001218,0.008985
PF,node_only,ieee118,GINE Conv,0.001,N/A,100,100,0,7.0122,6400,0,0,6400,100.00,0.000218,0.003970
PF,node_only,ieee118,GINE Conv,0.005,N/A,100,100,0,32.3328,6400,0,0,6400,100.00,0.001082,0.017049
PF,node_only,ieee118,GINE Conv,0.010,N/A,100,100,0,70.6114,6400,0,0,6400,100.00,0.002207,0.030062
