Task,Perturbation_Mode,Grid,Architecture,Node_Epsilon,Edge_Epsilon,Total_Graphs,Safe_Graphs,Skipped_Graphs,Avg_Time_s,Total_Verified,Total_Unknown,Total_Violated,Total_Voltage_Nodes,Pct_Verified,Mean_Bound_Width,Max_Bound_Width
PF,node_only,ieee24,GINE Conv,0.000,N/A,100,100,0,0.4436,1183,9,108,1300,91.00,0.000280,0.003196
PF,node_only,ieee24,GINE Conv,0.000,N/A,100,100,0,0.4436,1183,9,108,1300,91.00,0.000280,0.003196
PF,node_only,ieee39,GINE Conv,0.000,N/A,100,100,0,1.0549,2610,3,287,2900,90.00,0.000034,0.002056
PF,node_only,ieee39,GINE Conv,0.000,N/A,100,100,0,1.0549,2610,3,287,2900,90.00,0.000034,0.002056
PF,node_only,ieee118,GINE Conv,0.000,N/A,100,100,0,2.1800,6400,0,0,6400,100.00,0.000022,0.000406
PF,node_only,ieee118,GINE Conv,0.000,N/A,100,100,0,2.1800,6400,0,0,6400,100.00,0.000022,0.000406
